Area Type,Area Name,Year,Month,Date,Series Code,Industry Title,Seasonally Adjusted,Current Employment
County,Santa Clara County,2021,October,10/01/2021,42000000,Retail Trade,N,73300
County,Santa Clara County,2021,October,10/01/2021,50000000,Information,N,108500
County,Santa Clara County,2021,October,10/01/2021,32000000,Nondurable Goods,N,11800
County,Santa Clara County,2021,October,10/01/2021,65000000,Educational and Health Services,N,180600
County,Santa Clara County,2021,October,10/01/2021,70000000,Leisure and Hospitality,N,86600
County,Santa Clara County,2021,October,10/01/2021,60560000,Administrative and Support and Waste Ser,N,64800
County,Santa Clara County,2021,October,10/01/2021,65620000,Health Care and Social Assistance,N,135200
County,Santa Clara County,2021,October,10/01/2021,90910000,Federal Government,N,10300
County,Santa Clara County,2021,October,10/01/2021,90930000,Local Government,N,74600
County,Santa Clara County,2021,October,10/01/2021,11000000,Total Farm,N,3300
County,Santa Clara County,2021,October,10/01/2021,7000000,Service Providing,N,894700
County,Santa Clara County,2021,October,10/01/2021,55000000,Financial Activities,N,38300
County,Santa Clara County,2021,October,10/01/2021,40000000,"Trade, Transportation and Utilities",N,117200
County,Santa Clara County,2021,October,10/01/2021,90000000,Government,N,91900
County,Santa Clara County,2021,October,10/01/2021,60000000,Professional and Business Services,N,249400
County,Santa Clara County,2021,October,10/01/2021,55530000,Real Estate and Rental and Leasing,N,15000
County,Santa Clara County,2021,October,10/01/2021,60540000,"Professional, Scientific and Technical S",N,170600
County,Santa Clara County,2021,October,10/01/2021,65610000,Educational Services,N,45400
County,Santa Clara County,2021,October,10/01/2021,20000000,Construction,N,51000
County,Santa Clara County,2021,October,10/01/2021,31000000,Durable Goods,N,156100
County,Santa Clara County,2021,October,10/01/2021,1000000,Total Wage and Salary,N,1117100
County,Santa Clara County,2021,October,10/01/2021,0,Total Nonfarm,N,1113800
County,Santa Clara County,2021,October,10/01/2021,10000000,Mining and Logging,N,200
County,Santa Clara County,2021,October,10/01/2021,30000000,Manufacturing,N,167900
County,Santa Clara County,2021,October,10/01/2021,55520000,Finance and Insurance,N,23300
County,Santa Clara County,2021,October,10/01/2021,43000000,"Transportation, Warehousing and Utilitie",N,16200
County,Santa Clara County,2021,October,10/01/2021,41000000,Wholesale Trade,N,27700
County,Santa Clara County,2021,October,10/01/2021,60550000,Management of Companies and Enterprises,N,14000
County,Santa Clara County,2021,October,10/01/2021,90920000,State Government,N,7000
County,Santa Clara County,2021,November,11/01/2021,80000000,Other Services,N,22100
County,Santa Clara County,2021,November,11/01/2021,6000000,Goods Producing,N,219900
County,Santa Clara County,2021,November,11/01/2021,50000000,Information,N,107700
County,Santa Clara County,2021,November,11/01/2021,42000000,Retail Trade,N,75500
County,Santa Clara County,2021,November,11/01/2021,32000000,Nondurable Goods,N,11800
County,Santa Clara County,2021,November,11/01/2021,65620000,Health Care and Social Assistance,N,134900
County,Santa Clara County,2021,November,11/01/2021,60560000,Administrative and Support and Waste Ser,N,64600
County,Santa Clara County,2021,November,11/01/2021,70000000,Leisure and Hospitality,N,88200
County,Santa Clara County,2021,November,11/01/2021,65000000,Educational and Health Services,N,180800
County,Santa Clara County,2021,November,11/01/2021,90930000,Local Government,N,75000
County,Santa Clara County,2021,November,11/01/2021,90910000,Federal Government,N,10300
County,Santa Clara County,2021,November,11/01/2021,11000000,Total Farm,N,2900
County,Santa Clara County,2021,November,11/01/2021,55000000,Financial Activities,N,37500
County,Santa Clara County,2021,November,11/01/2021,7000000,Service Providing,N,900600
County,Santa Clara County,2021,November,11/01/2021,40000000,"Trade, Transportation and Utilities",N,120500
County,Santa Clara County,2021,November,11/01/2021,90000000,Government,N,92500
County,Santa Clara County,2021,November,11/01/2021,60000000,Professional and Business Services,N,251300
County,Santa Clara County,2021,November,11/01/2021,55530000,Real Estate and Rental and Leasing,N,14500
County,Santa Clara County,2021,November,11/01/2021,65610000,Educational Services,N,45900
County,Santa Clara County,2021,November,11/01/2021,60540000,"Professional, Scientific and Technical S",N,172700
County,Santa Clara County,2021,November,11/01/2021,31000000,Durable Goods,N,156800
County,Santa Clara County,2021,November,11/01/2021,20000000,Construction,N,51100
County,Santa Clara County,2021,November,11/01/2021,1000000,Total Wage and Salary,N,1123400
County,Santa Clara County,2021,November,11/01/2021,0,Total Nonfarm,N,1120500
County,Santa Clara County,2021,November,11/01/2021,30000000,Manufacturing,N,168600
County,Santa Clara County,2021,November,11/01/2021,10000000,Mining and Logging,N,200
County,Santa Clara County,2021,November,11/01/2021,41000000,Wholesale Trade,N,27800
